,en,vi
objectives.prologue.explore_garden.name,Explore your surroundings,Khám phá mâu tràng xung quanh
objectives.prologue.explore_garden.description,I woke up in a strange garden. Where am I?,Miềng thức dậy trung rú kỳ quặc. Chổ ni là chổ mô ?
,,
objectives.prologue.refresh_memory.name,Check your notes to refresh your memory,Coi ghi chú để nhớ gỏ lại
objectives.prologue.refresh_memory.description,I should go over my ritual notes to make sure I don't forget anything.,Miềng nên đọc lướt quơ ghi chú nghi thức để cho chắc ăng.
,,
objectives.prologue.items.get_chalk.name,Chalk,Cục phấn
objectives.prologue.items.get_chalk.description,This is a school - surely I can find chalk here.,"Đây lè tràng học, chắc sẻ kiếm đặng cục phấn."
,,
objectives.prologue.items.get_candles.name,Candles,Đèn cầy
objectives.prologue.items.get_candles.description,I brought some from home.,Miềng cọ mang dài cây lên chổ ni.
,,
objectives.prologue.items.get_hair_tuft.name,A tuft of hair,Nạm tóc
objectives.prologue.items.get_hair_tuft.description,It has to be human hair.,Phảy là tóc ngừi mới đặng.
,,
objectives.prologue.items.find_runes.name,A rune,Rune
objectives.prologue.items.find_runes.description,"My friend said that the occult club keeps some runes somewhere in their room. I need one for my ritual, so I should look for it there.",Đặng biểu trung buồng CLB quyềng bí cọ để vài cáy rune. Miềng cần hắn cho nghi thức nên phảy tới nớ.
,,
objectives.prologue.items.name,Gather items for the ritual,Kiếm đồ cho nghi thức
objectives.prologue.items.description,I should gather everything I'll need for the ritual first.,Trước hớt cần kiếm đặng hớt đồ cho nghi thức cấy.
,,
objectives.prologue.open_box.name,Find a way to open the box with the runes,Kiếm cách mở thùng chứa rune
objectives.prologue.open_box.description,"I found the box with the runes in the occult club, but it's sealed with tape - anything pointy should do the trick.","Miềng đả kiếm đặng thùng cất rune của CLB rầu, nhưng hắn bị dán băng keo. Chừ cần kiếm đồ sắc nhọn rầu mở là đặng."
,,
objectives.prologue.sort_desks.name,Sort the desks in all three classrooms,Xếp lại bàn trung ba buồng học
objectives.prologue.sort_desks.description,"According to the ritual instructions, I need to get the desks out of the way in all three of the classrooms.","Theo quy trình, miềng phảy chuỷng mấy cấy bàn quơ một bên trung cả ba buồng học."
,,
objectives.prologue.shut_curtains.name,Shut the curtains in all three classrooms,Kéo rèm kín mích trung cả ba buồng học
objectives.prologue.shut_curtains.description,"According to the ritual instructions, I need to make it as dark as possible in all three classrooms, so curtains should be shut.","Theo nghi thức, cả ba buồng học đều phảy túi nhứt cọ thể, cho nên rèm phảy đặng đóng lại."
,,
objectives.prologue.enter_theater_club.name,Find a way into the Theater Club room,Kiếm cách dô buồng CLB kịch
objectives.prologue.enter_theater_club.description,"I'm fairly sure I can find some curtains in the Theater Club room, but it's locked. I need to find a way in.","Chắc miềng cọ thể kiếm đặng rèm trung buồng CLB kịch, nhưng buồng bị khuế rầu. Phảy kiếm cách dô thâu."
,,
objectives.prologue.retrieve_notebook.name,Retrieve the girl's notebook,Lấy vở bạn gấy dìa
objectives.prologue.retrieve_notebook.description,"One of the girls forgot her notebook in classroom 3-C. If I get it, she might lend me her Theater Club room key. She said not to look through it.",Một đứa trung đám cun gấy quên tập ở buồng 3-C. Níu lấy dìa thì cọ khi nhỏ nớ sẻ cho miềng mượn chìa khuế buồng CLB kịch. Hắn dặn đừng cọ mở ga coi.
,,
objectives.prologue.draw_chalk.name,Draw a path with chalk in all 3 classrooms,Vẻ đàng bằng cục phấn xuyên quơ cả ba buồng học
objectives.prologue.draw_chalk.description,I need to draw a path with chalk on the floor connecting all 3 classrooms. My drawing may help me visualize it.,Chừ phảy vẻ đàng thẻng trơn sàn kết nối cả ba buồng học. Coi hình vẻ của miềng cọ thể hình dung ga đặng.
,,
objectives.prologue.set_candles.name,Set and light candles in the middle room,Để dà đốt mớ đèn cầy ở buồng trửa.
objectives.prologue.set_candles.description,I need to set and light the candles on top of all the desks in classroom 3-B.,Chừ phảy để dà đốt mớ đèn cầy lên mấy cấy bàn trung buồng 3-B.
,,
objectives.prologue.start_ritual.name,Burn the hair tuft on a candle,Đốt nạm tóc ở trơn đèn cầy
objectives.prologue.start_ritual.description,Preparations are complete. Let's burn the hair tuft on a candle to start the ritual.,Đả chuẩn bị hớt. Chừ đốt nạm tóc trơn đèn cầy rầu bắt đầu nghi thức.
,,
objectives.prologue.explore_world.name,Explore the strange place,Dò chổ kỳ quặc ni
objectives.prologue.explore_world.description,"I arrived at a mysterious location, let's take a look around!","Miềng đả tới đặng một nơi kỳ quặc, để dòm quanh coi"
,,
objectives.prologue.escape_world.name,Escape this cursed place,Chạy khỏi chổ ni
objectives.prologue.escape_world.description,This isn't fun anymore. I need to find a way back!,"Chừ hỏng còn dui nựa, phảy chuồn khỏi chổ ni lẹ"
,,
objectives.prologue.ending_k3.name,Go home,Dìa nhà
objectives.prologue.ending_k3.description,I'm going home. Maybe I'll finish the ritual some other time.,Đi dìa nhà thâu. Nghi thức mốt mần củng đặng.
,,
objectives.prologue.ending_k3_pt2.name,Test your theory,Kỉm chứng dả thuyếc
objectives.prologue.ending_k3_pt2.description,"If I'm really trapped in a loop, then the X will still be there when I go up or down. But that couldn't be the case… right?","Níu miềng thiệc sự bị kẹt trung dòng lặp, dấu X ni củng sẻ đứng ở chổ ni khi lên dà xúng. Nhưng chắc hỏng phảy dị hỷ ?"
